subset_size,predictors,subset_tuple,rss,r2,adj_r2,aic,bic,cp,cv_rmse_mean,cv_rmse_se,cv_rmse_min_fold,cv_rmse_max_fold,n_parameters_including_intercept
2,sex_I + whole_weight,"('sex_I', 'whole_weight')",433597.10476701945,0.4043852433527222,0.4043688101074947,335391.44342380174,335419.0171182715,5.981636728220839,2.4455719658790263,0.00912074600365301,2.4041964838818672,2.490662630537625,3
2,whole_weight + whole_weight_2,"('whole_weight', 'whole_weight_2')",447868.0540171203,0.38478181918020204,0.38476484506879705,337738.94416450453,337766.5178589743,6.178499130280389,2.4855362061005835,0.008786151663658226,2.4475787360573884,2.5321965364380614,3
2,sex_I + whole_weight_2,"('sex_I', 'whole_weight_2')",451718.4863458667,0.3794926364590553,0.37947551641702015,338359.5120196842,338387.08571415395,6.231614402706952,2.4961610714918594,0.009475991129546679,2.4523874643132304,2.5410281520513873,3
2,whole_weight_1 + whole_weight_2,"('whole_weight_1', 'whole_weight_2')",459831.53028662136,0.3683480770528347,0.3683306495280255,339649.9432652007,339677.51695967047,6.343530806458465,2.5185437045593226,0.010220332625234361,2.4776730689588473,2.559767710652877,3
2,whole_weight_1 + sex_I,"('whole_weight_1', 'sex_I')",488728.1296830301,0.328653990472912,0.3286354677726533,344068.0536698386,344095.62736430834,6.742148576645641,2.5964188632594096,0.009122179100882949,2.550139513152811,2.643605691625292,3
3,shell_weight + whole_weight_1 + height,"('shell_weight', 'whole_weight_1', 'height')",298097.0970293976,0.5905161082663908,0.5904991613003384,308230.94398369896,308267.70890965866,4.11257385104037,2.028107062582367,0.012572275544126647,1.9699068026894049,2.1124731752462464,4
3,shell_weight + whole_weight_1 + diameter,"('shell_weight', 'whole_weight_1', 'diameter')",300616.8192325153,0.5870548680728358,0.5870377778593414,308841.1211498512,308877.8860758109,4.147332475483311,2.0363035462141514,0.011329686698166698,1.9857307140387195,2.1008987117373277,4
3,shell_weight + whole_weight_1 + sex_I,"('shell_weight', 'whole_weight_1', 'sex_I')",305240.3637857045,0.5807036924454632,0.5806863393811951,309947.5749741583,309984.339900118,4.211112541603561,2.0518562790265116,0.011796465355328802,2.0015798617094136,2.1230420700166492,4
3,shell_weight + whole_weight_1 + whole_weight,"('shell_weight', 'whole_weight_1', 'whole_weight')",309273.2526258056,0.5751638766148823,0.5751462942789073,310899.07992782554,310935.84485378524,4.266744733295074,2.0654832801355547,0.01154373807470302,2.0178546037396345,2.1299500395713395,4
3,shell_weight + whole_weight_1 + whole_weight_2,"('shell_weight', 'whole_weight_1', 'whole_weight_2')",314185.2879230067,0.5684164129532941,0.5683985513657053,312041.3872592172,312078.1521851769,4.334504421222032,2.0817628128353824,0.012002077493236885,2.0272165043804877,2.155449496707673,4
3,whole_weight_1 + height + whole_weight,"('whole_weight_1', 'height', 'whole_weight')",328927.2235167705,0.5481660139431177,0.5481473142692659,315365.4079077097,315402.1728336694,4.537863903561654,2.1309824017734877,0.012295702972628457,2.079917035815634,2.200267331755079,4
3,shell_weight + height + whole_weight,"('shell_weight', 'height', 'whole_weight')",330860.84967583744,0.5455098701139325,0.5454910605124859,315790.31049242767,315827.07541838737,4.5645375525031495,2.1365989259081877,0.013208256937785587,2.0692894021468113,2.2276900950947454,4
3,whole_weight_1 + diameter + whole_weight,"('whole_weight_1', 'diameter', 'whole_weight')",336138.7296390476,0.5382598604728623,0.5382407508213534,316937.57376470114,316974.33869066084,4.637343930630531,2.153313171410297,0.01069731398235359,2.1035189642988104,2.1899359833741867,4
3,shell_weight + sex_I + whole_weight,"('shell_weight', 'sex_I', 'whole_weight')",336821.9053063978,0.5373214097673976,0.5373022612770171,317084.75856250076,317121.52348846046,4.646768083190127,2.1553911658615865,0.012160274003211381,2.0980848730546953,2.233324221480405,4
